antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['Education_Category_High School', 'Experience_Category_Entry']",['Salary_Category_Low'],0.05559875583203733,0.33748055987558323,0.05559875583203733,1.0,2.963133640552995,1.0,0.03683525658545552,inf,0.7015232606010703,0.16474654377880185,1.0,0.5823732718894009
"['Education_Category_High School', 'Job_Group_Marketing_Sales']",['Salary_Category_Low'],0.04101866251944013,0.33748055987558323,0.04101866251944013,1.0,2.963133640552995,1.0,0.02717566132703187,inf,0.6908574903709709,0.12154377880184332,1.0,0.5607718894009217
"['Experience_Category_Entry', 'Job_Group_Marketing_Sales']",['Salary_Category_Low'],0.04432348367029549,0.33748055987558323,0.04432348367029549,1.0,2.963133640552995,1.0,0.0293651695856079,inf,0.693246541903987,0.1313364055299539,1.0,0.565668202764977
"['Education_Category_High School', 'Experience_Category_Entry', 'Job_Group_Marketing_Sales']",['Salary_Category_Low'],0.03596423017107309,0.33748055987558323,0.03596423017107309,1.0,2.963133640552995,1.0,0.023827001637445003,inf,0.6872353297035693,0.10656682027649768,1.0,0.5532834101382489
"['Job_Group_Tech', 'Experience_Category_Executive']",['Salary_Category_High'],0.05754276827371695,0.3318429237947123,0.05579315707620529,0.9695945945945946,2.9218480343260658,1.0,0.03669799660901345,21.9749438396406,0.6979105576062833,0.16724941724941725,0.9544936265913861,0.5688629094824174
['Experience_Category_Executive'],['Salary_Category_High'],0.07387247278382582,0.3318429237947123,0.0713452566096423,0.9657894736842105,2.910381401658804,1.0,0.04683119925311223,19.53074530446226,0.7087602980574106,0.21337209302325583,0.948798676936741,0.5903932722844016
['Education_Category_High School'],['Salary_Category_Low'],0.06531881804043546,0.33748055987558323,0.06318040435458787,0.9672619047619048,2.866126289225367,1.0,0.041136573071890364,20.23695744380037,0.6965979777294253,0.18603319977103602,0.9505854571875698,0.5772369431643625
"['Education_Category_PhD', 'Job_Group_Tech', 'Experience_Category_Senior']",['Salary_Category_High'],0.10303265940902022,0.3318429237947123,0.0942846034214619,0.9150943396226415,2.7576129367421602,1.0,0.06009394447682786,7.869405564195613,0.7105805281103231,0.2768264840182648,0.8729255987834936,0.5996092670579523
"['Experience_Category_Entry', 'Country_USA']",['Salary_Category_Low'],0.04296267496111975,0.33748055987558323,0.03926905132192846,0.9140271493212669,2.708384594532602,1.0,0.024769983722297065,7.706147171973477,0.6590926003020777,0.1150997150997151,0.8702334671680156,0.5151932981629376
"['Experience_Category_Entry', 'Country_Canada']",['Salary_Category_Low'],0.03363141524105754,0.33748055987558323,0.030715396578538102,0.9132947976878614,2.706214538770944,1.0,0.019365447733577783,7.641057542768282,0.6524220224135429,0.09023415191319245,0.8691280631767485,0.502154311286327
"['Country_Australia', 'Experience_Category_Entry']",['Salary_Category_Low'],0.04121306376360809,0.33748055987558323,0.03732503888024884,0.9056603773584906,2.6835927310668635,1.0,0.02341643104711827,7.022706065318819,0.6543322519599892,0.10933940774487472,0.8576047479847639,0.5081297278497522
['Experience_Category_Entry'],['Salary_Category_Low'],0.18818040435458788,0.33748055987558323,0.16815707620528772,0.893595041322314,2.6478415279734926,1.0,0.10464984798608776,6.226396291654712,0.7665913671295372,0.4703643284393693,0.8393934543902534,0.6959334653616178
"['Education_Category_PhD', 'Experience_Category_Senior']",['Salary_Category_High'],0.13374805598755832,0.3318429237947123,0.11605754276827372,0.867732558139535,2.614889442923121,1.0,0.07167419681750349,5.051561191530092,0.7129272935593587,0.332035595105673,0.802041396296121,0.6087344688764459
"['Education_Category_PhD', 'Job_Group_Tech']",['Salary_Category_High'],0.15629860031104198,0.3318429237947123,0.1333592534992224,0.8532338308457712,2.5711979061925287,1.0,0.0814926689869851,4.552527875161454,0.7242802058282167,0.37589041095890413,0.7803418172448784,0.6275542323531726
