Age,Gender,Education Level,Job Title,Years of Experience,Country,Senior
25.0,Male,1,Data Analyst,2.0,China,0
24.0,Male,1,Data Analyst,1.0,UK,0
29.0,Male,1,Marketing Analyst,4.0,China,0
29.0,Female,0,Sales Associate,1.0,Australia,0
27.0,Female,1,Software Engineer,3.0,USA,0
33.0,Female,1,Human Resources Manager,6.0,Canada,0
27.0,Male,1,Software Engineer,4.0,USA,0
33.0,Female,1,Full Stack Engineer,6.0,UK,0
30.0,Female,2,Full Stack Engineer,5.0,USA,0
46.0,Male,1,Project Engineer,25.0,Australia,1
25.0,Female,2,Software Engineer,2.0,USA,0
34.0,Female,2,Product Manager,12.0,UK,0
27.0,Male,1,Software Engineer,4.0,Canada,0
29.0,Female,1,Full Stack Engineer,6.0,Canada,0
28.0,Male,1,Front End Developer,2.0,China,0
23.0,Male,1,Software Engineer,1.0,China,0
35.0,Female,1,Project Engineer,12.0,China,1
28.0,Female,2,Data Scientist,6.0,Canada,0
37.0,Male,1,Product Manager,12.0,Canada,0
27.0,Male,2,Web Developer,2.0,China,0
44.0,Male,2,Project Engineer,11.0,Canada,1
28.0,Male,1,Software Engineer,5.0,Canada,0
30.0,Female,3,Data Scientist,5.0,USA,0
30.0,Male,2,Front End Developer,8.0,Canada,0
26.0,Male,2,Full Stack Engineer,4.0,USA,0
53.0,Male,3,Software Engineer Manager,19.0,Australia,0
27.0,Female,2,Back end Developer,2.0,China,0
38.0,Female,3,Research Scientist,12.0,Australia,1
26.0,Male,2,Full Stack Engineer,4.0,UK,0
31.0,Female,0,Sales Representative,3.0,UK,0
38.0,Female,3,Software Engineer Manager,15.0,Australia,0
28.0,Male,1,Front End Developer,2.0,UK,0
29.0,Male,1,Sales Associate,2.0,USA,0
31.0,Male,1,Software Engineer,9.0,UK,0
39.0,Male,2,HR Generalist,11.0,China,1
28.0,Female,1,Marketing Coordinator,2.0,China,0
31.0,Male,0,Sales Associate,3.0,China,0
29.0,Female,1,Front End Developer,4.0,USA,0
30.0,Male,1,Operations Manager,5.0,Canada,0
33.0,Male,1,Web Developer,5.0,China,0
45.0,Male,2,Software Engineer Manager,19.0,Canada,0
46.0,Male,3,Project Engineer,14.0,Australia,1
24.0,Male,1,Front End Developer,1.0,Australia,0
43.0,Male,3,Software Engineer Manager,13.0,UK,0
34.0,Male,2,Data Analyst,8.0,USA,0
58.0,Male,3,Software Engineer Manager,17.0,Canada,0
32.0,Male,1,Software Engineer,7.0,Canada,1
33.0,Male,1,Software Developer,5.0,USA,0
47.0,Male,3,Data Scientist,19.0,Australia,0
25.0,Female,2,HR Generalist,1.0,USA,0
25.0,Female,1,Data Analyst,2.0,China,0
23.0,Female,1,Front End Developer,1.0,USA,0
32.0,Male,1,Operations Manager,6.0,UK,0
30.0,Female,1,Marketing Coordinator,4.0,USA,0
25.0,Female,2,Data Analyst,1.0,China,0
32.0,Male,1,Software Engineer,7.0,USA,1
26.0,Male,1,Software Engineer,1.0,China,0
30.0,Female,0,Sales Associate,1.0,China,0
39.0,Female,2,Software Engineer Manager,12.0,UK,0
31.0,Female,3,Data Scientist,8.0,USA,0
35.0,Female,1,Sales Representative,2.0,USA,0
32.0,Female,2,Financial Manager,8.0,UK,0
46.0,Male,1,Project Engineer,25.0,Australia,1
30.0,Female,1,Marketing Coordinator,5.0,Australia,0
37.0,Male,1,Product Manager,13.0,UK,0
27.0,Female,1,Full Stack Engineer,4.0,Canada,0
32.0,Female,2,Software Engineer,7.0,UK,1
28.0,Male,1,Web Developer,2.0,China,0
31.0,Male,1,Software Developer,6.0,Canada,0
33.0,Female,2,Front End Developer,9.0,Canada,0
27.0,Female,1,Software Engineer,3.0,USA,0
41.0,Male,3,Data Scientist,13.0,USA,0
27.0,Female,1,Software Developer,2.0,UK,0
24.0,Male,1,Sales Representative,1.0,UK,0
41.0,Male,3,Project Engineer,13.0,Australia,1
33.0,Female,2,Full Stack Engineer,9.0,UK,0
24.0,Female,1,Web Developer,1.0,China,0
29.0,Female,1,Front End Developer,4.0,Australia,0
24.0,Female,1,Web Developer,1.0,Canada,0
26.0,Male,1,Data Analyst,3.0,China,0
33.0,Female,1,Full Stack Engineer,6.0,USA,0
30.0,Female,3,Data Scientist,7.0,USA,0
28.0,Female,1,Software Developer,2.0,Canada,0
45.0,Male,2,Software Engineer,22.0,USA,1
35.0,Male,2,Product Manager,10.0,Canada,1
54.0,Female,3,Software Engineer Manager,32.0,Australia,0
54.0,Female,3,Software Engineer Manager,32.0,USA,0
30.0,Male,1,Software Engineer,5.0,Australia,0
36.0,Male,3,Data Scientist,12.0,UK,1
30.0,Male,2,Full Stack Engineer,6.0,Canada,0
33.0,Male,2,Data Scientist,8.0,Canada,1
30.0,Female,1,Marketing Coordinator,5.0,Australia,0
27.0,Female,1,Software Engineer,2.0,UK,0
54.0,Male,1,Project Engineer,29.0,Canada,1
24.0,Male,1,Data Analyst,1.0,USA,0
29.0,Female,2,Data Scientist,6.0,Australia,0
23.0,Male,1,Full Stack Engineer,1.0,Australia,0
32.0,Male,1,Marketing Manager,6.0,UK,0
32.0,Female,3,Data Scientist,10.0,Canada,0
24.0,Male,1,Front End Developer,1.0,Canada,0
28.0,Male,3,Sales Representative,4.0,China,0
33.0,Male,2,Data Analyst,8.0,China,0
30.0,Female,1,Software Engineer,5.0,Australia,0
35.0,Male,3,Human Resources Manager,10.0,USA,1
24.0,Female,1,Marketing Analyst,0.0,Australia,0
34.0,Male,1,Back end Developer,10.0,UK,0
34.0,Male,1,Web Developer,3.0,USA,0
49.0,Male,3,Project Engineer,17.0,Australia,1
28.0,Female,1,Front End Developer,2.0,UK,0
44.0,Female,3,Data Scientist,18.0,Canada,0
49.0,Female,3,Project Engineer,17.0,Canada,1
48.0,Male,3,Project Engineer,16.0,Canada,1
35.0,Female,2,Marketing Manager,10.0,Australia,0
30.0,Female,1,Data Analyst,5.0,Canada,0
45.0,Male,3,Human Resources Manager,12.0,USA,1
34.0,Male,3,Director of Marketing,12.0,China,0
24.0,Male,1,Back end Developer,1.0,USA,0
29.0,Female,2,Web Developer,4.0,UK,0
33.0,Male,3,Data Scientist,8.0,China,0
55.0,Male,3,Software Engineer Manager,18.0,UK,0
31.0,Male,1,Full Stack Engineer,6.0,UK,0
27.0,Male,1,Software Developer,3.0,China,0
43.0,Female,3,Project Engineer,14.0,USA,1
