work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Principal Data Scientist,USD,CH,100,CH,S
2023,SE,FT,Analytics Engineer,USD,AU,100,MY,M
2023,SE,FT,Quantitative Analyst,USD,NL,100,NL,M
2022,SE,FT,Data Engineer,USD,US,100,US,L
2022,SE,FT,Data Specialist,USD,HU,0,CZ,S
2023,EN,FT,Research Scientist,USD,US,0,US,M
2023,SE,FT,Data Analyst,USD,US,0,US,S
2022,SE,FT,Data Engineer,USD,PT,50,PT,M
2023,SE,FT,Data Governance Analyst,USD,IN,0,IN,M
2023,EX,FT,Data Engineer,USD,BR,0,BR,L
2023,SE,FT,Business Intelligence Engineer,USD,IN,0,IN,M
2022,EX,FT,BI Analyst,USD,US,0,US,L
2023,SE,FT,Machine Learning Engineer,USD,SG,0,US,L
2023,EN,FT,Data Architect,USD,MX,100,MX,L
2023,SE,FT,Director of Data Science,USD,US,50,CA,M
2021,EN,FT,Machine Learning Engineer,USD,CH,0,CH,M
2022,MI,FT,ML Ops Engineer,USD,GB,100,GB,M
2021,EN,FT,Data Architect,USD,US,0,US,L
2023,MI,FT,Data Engineer,USD,CH,0,CH,M
2022,SE,FT,Quantitative Analyst,USD,FR,0,DE,M
2022,SE,FT,Data Scientist,USD,KR,50,KR,L
2022,MI,FT,Research Scientist,USD,MX,0,MX,M
2022,SE,FT,Data Analyst,USD,GB,0,GB,M
2023,SE,FT,Quantitative Analyst,USD,AU,0,NL,M
2022,MI,FT,Statistician,USD,SG,0,SG,M
2023,SE,FT,Data Scientist,USD,DK,100,DK,L
2023,MI,FT,Data Science Manager,USD,US,0,US,M
2022,SE,FT,Data Engineer,USD,SE,100,SE,M
2022,SE,FT,Machine Learning Engineer,USD,CL,50,BR,M
2023,SE,FT,Data Engineer,USD,HU,0,HU,M
2022,SE,FT,Data Scientist,USD,DE,0,DE,M
2022,SE,FT,Data Scientist,USD,AR,100,AR,L
2023,SE,FT,Analytics Engineer,USD,PT,100,PT,M
2022,SE,FT,Data Engineer,USD,IN,0,IN,M
2022,MI,FT,Data Scientist,USD,BR,100,BR,M
2022,SE,FT,Data Engineer,USD,GB,50,US,S
2021,MI,FT,Decision Scientist,USD,NL,0,NL,L
2023,MI,FT,Research Scientist,USD,FR,100,FR,M
2022,MI,FT,Data Scientist,USD,GB,100,GB,M
2023,MI,CT,Director of Data Science,USD,PT,0,PT,M
2022,SE,FT,Research Scientist,USD,DE,100,IN,S
2021,SE,FT,Data Engineer,USD,CA,0,CA,M
2021,MI,FT,Data Architect,USD,JP,0,JP,M
2022,SE,FT,Data Science Manager,USD,HU,100,DE,M
2022,SE,FT,Data Specialist,USD,GB,0,GB,L
2022,MI,FT,Statistician,USD,BR,0,BR,L
2023,EN,FT,Data Scientist,USD,GB,50,GB,L
2023,EX,FT,ML Ops Engineer,USD,MX,100,MX,M
2023,EN,FT,Analytics Engineer,USD,GR,100,GR,M
2023,SE,FT,Data Analyst,USD,CA,100,BR,L
2021,SE,FT,Research Scientist,USD,NO,0,IN,M
2021,SE,PT,Machine Learning Engineer,USD,PL,100,PL,M
2022,EN,FT,Data Scientist,USD,GB,0,CH,M
2021,EN,FT,Decision Scientist,USD,JP,100,JP,M
2021,SE,FT,Data Product Manager,USD,NO,0,NO,M
2022,SE,FT,Statistician,USD,US,100,US,M
2023,MI,FT,Machine Learning Engineer,USD,US,0,DE,M
2022,SE,FT,Big Data Engineer,USD,SG,100,SG,L
2023,EX,FT,Computer Vision Engineer,USD,NL,50,NL,M
2022,SE,FT,Data Engineer,USD,ES,100,ES,M
2022,SE,FT,Machine Learning Engineer,USD,NZ,0,NZ,M
2023,SE,FT,Data Science Manager,USD,FR,0,FR,M
2022,SE,PT,ML Ops Engineer,USD,NL,0,NL,M
2022,MI,FT,Big Data Engineer,USD,GB,50,GB,L
2021,MI,FT,Data Science Manager,USD,US,100,US,S
2022,MI,FT,Data Scientist,USD,AE,100,GB,L
2023,SE,FT,Data Analyst,USD,GB,50,GB,M
2023,SE,FT,Data Scientist,USD,BR,0,KR,M
2023,SE,FT,Data Analyst,USD,IN,100,IN,M
2022,SE,FT,Big Data Engineer,USD,SG,100,SG,M
2021,SE,FT,AI Researcher,USD,PL,100,PL,M
2023,SE,FT,Data Engineer,USD,JP,100,JP,L
2022,SE,FT,Data Analyst,USD,BR,100,BR,M
2021,SE,PT,Data Engineer,USD,IN,0,IN,M
2023,SE,FT,NLP Engineer,USD,TR,0,SG,M
2023,EN,FT,AI Engineer,USD,IN,0,IN,M
2022,EN,FT,Statistician,USD,US,0,US,L
2023,EN,FT,Head of Data,USD,NO,100,NO,M
2023,EN,FT,Data Scientist,USD,FR,50,NO,M
2022,SE,FT,Analytics Engineer,USD,AU,0,AU,M
2023,MI,PT,Research Scientist,USD,PT,100,PT,S
2023,SE,FT,Data Architect,USD,CL,0,CL,M
2023,EN,FT,Big Data Engineer,USD,US,100,US,M
2023,MI,FT,Quantitative Analyst,USD,JP,100,JP,L
2022,SE,FT,Data Scientist,USD,IT,0,IT,S
2023,SE,FT,Data Engineer,USD,DE,100,DE,M
2023,EN,FT,ML Engineer,USD,IN,100,IN,L
2022,SE,FT,Data Scientist,USD,GB,100,GB,S
2022,SE,FT,Statistician,USD,BR,0,BR,M
2022,MI,FT,Analytics Engineer,USD,IN,50,IN,M
2023,SE,FT,AI Engineer,USD,TR,0,TR,M
2023,MI,FT,Data Analyst,USD,IN,0,IN,M
2023,EX,FT,Data Engineer,USD,DE,100,DE,M
2023,EN,FT,Data Analyst,USD,CA,0,CA,M
2021,EX,FT,Data Scientist,USD,DE,100,DE,L
2022,EN,FT,Data Scientist,USD,ES,100,ES,M
2022,SE,FT,Research Scientist,USD,BR,100,BR,M
2023,SE,FT,Data Analyst,USD,ES,0,ES,M
2022,EN,FT,BI Analyst,USD,NZ,0,NZ,M
2021,EN,FT,Data Science Manager,USD,CZ,0,CZ,S
2021,MI,FT,Business Intelligence Engineer,USD,US,0,US,S
2021,SE,FT,Data Consultant,USD,SE,100,SE,S
2023,SE,FT,Data Architect,USD,ES,100,ES,L
2022,SE,FT,Data Scientist,USD,IT,0,IT,M
2023,MI,FT,Data Governance Analyst,USD,MY,100,MY,L
2023,EN,PT,Data Engineer,USD,IT,0,IT,M
2023,SE,FT,Machine Learning Engineer,USD,TR,100,TR,M
2022,EX,FT,Data Scientist,USD,IN,50,IN,L
2023,EN,FT,Data Architect,USD,US,50,US,L
2023,SE,FT,Data Specialist,USD,GB,50,GB,S
2023,SE,FT,Analytics Engineer,USD,BR,100,BR,M
2023,MI,FT,Machine Learning Engineer,USD,AE,0,IN,M
2023,SE,FT,Data Analyst,USD,IN,50,GR,L
2023,MI,FT,Data Engineer,USD,NL,0,NL,M
2023,EN,FT,Big Data Engineer,USD,GR,100,GR,M
2023,MI,FT,BI Analyst,USD,BR,100,BR,L
2023,EN,FT,ML Engineer,USD,US,0,US,M
2023,SE,FT,Decision Scientist,USD,ES,0,ES,L
2023,SE,FT,Data Engineer,USD,IN,0,DE,M
2023,SE,FT,Data Scientist,USD,CA,100,CA,M
2023,SE,FT,Computer Vision Engineer,USD,CH,100,CH,M
2023,EN,FT,Lead Data Scientist,USD,SE,50,SE,M
2023,MI,FT,Data Architect,USD,US,0,US,L
2023,MI,FT,Business Intelligence Engineer,USD,FR,0,FR,L
2022,MI,FT,Data Consultant,USD,KR,100,KR,M
2023,EN,FT,Research Scientist,USD,US,0,US,L
2021,MI,FT,AI Engineer,USD,HU,0,US,M
2023,SE,FT,Data Scientist,USD,NZ,100,MX,M
2023,MI,FT,Big Data Engineer,USD,NZ,50,FR,M
2023,SE,FT,Machine Learning Engineer,USD,US,100,US,L
2023,MI,FT,ML Engineer,USD,US,0,US,S
2021,EN,FT,ML Engineer,USD,PT,0,PT,M
2023,SE,FT,ML Engineer,USD,SG,0,SG,M
2023,EN,FT,Big Data Engineer,USD,IN,100,IN,M
2023,SE,FT,Data Engineer,USD,PT,50,PT,M
2023,SE,FT,Data Scientist,USD,IN,0,IN,M
2021,SE,PT,Data Analyst,USD,JP,0,IN,L
2023,SE,FT,ML Ops Engineer,USD,US,0,US,M
2023,MI,FT,Lead Data Scientist,USD,IN,100,IN,M
2022,SE,CT,Data Scientist,USD,MY,100,MX,L
2023,EN,PT,AI Engineer,USD,BR,0,BR,M
2023,SE,FT,Computer Vision Engineer,USD,AR,100,AR,L
2021,SE,FT,Decision Scientist,USD,MY,100,PL,M
2023,SE,FT,Data Scientist,USD,TR,100,TR,M
2023,MI,FT,AI Researcher,USD,NL,50,NL,L
2023,EN,FT,Data Scientist,USD,US,100,US,L
2022,SE,FT,Data Scientist,USD,ES,100,ES,L
2023,EN,FT,Data Science Manager,USD,DK,100,DK,M
2022,EX,FT,Data Engineer,USD,IN,100,IN,S
2023,SE,FT,Data Specialist,USD,IN,100,IN,M
2022,EN,FT,Data Scientist,USD,NL,100,NL,M
2023,EX,FT,Data Engineer,USD,US,0,US,M
2022,MI,FT,Quantitative Analyst,USD,FR,0,FR,M
2023,SE,FT,ML Ops Engineer,USD,GB,0,GB,L
2023,SE,FT,Business Intelligence Engineer,USD,GB,0,GB,M
2021,SE,FT,Quantitative Analyst,USD,DK,0,DK,L
2022,EX,FT,Data Product Manager,USD,PT,100,PT,M
2023,SE,FT,Machine Learning Engineer,USD,AR,50,MY,L
2023,EX,FT,Data Analyst,USD,IN,100,MY,M
2023,MI,FT,Big Data Engineer,USD,DE,0,FR,M
2022,SE,FT,Data Science Manager,USD,AR,0,AR,M
2021,EN,FL,AI Engineer,USD,GB,100,GB,M
2023,SE,FT,Big Data Engineer,USD,GB,100,GB,S
2022,SE,FT,Big Data Engineer,USD,IT,50,IT,M
2022,SE,FT,Data Scientist,USD,KR,100,KR,M
2023,SE,FT,Data Engineer,USD,IN,0,IN,M
2023,EX,FT,Data Architect,USD,GB,100,GB,M
2023,EN,FT,Data Product Manager,USD,SG,0,TR,M
2023,SE,FT,BI Analyst,USD,GR,100,IT,M
2023,SE,FT,Data Scientist,USD,AR,0,KR,M
2021,SE,FT,Data Engineer,USD,JP,0,JP,M
2023,SE,FT,Applied Scientist,USD,NL,100,NL,L
2022,EX,FT,Applied Scientist,USD,IN,100,IN,M
2022,MI,FT,AI Engineer,USD,CA,0,CA,M
2023,EX,FT,Data Scientist,USD,PL,0,JP,S
2022,MI,FT,Analytics Engineer,USD,US,0,US,M
2022,SE,FT,AI Engineer,USD,US,0,US,S
2023,SE,FT,Data Scientist,USD,GB,0,GB,L
2021,SE,FT,Data Scientist,USD,PL,0,PL,M
2023,EN,FT,Machine Learning Engineer,USD,BR,100,BR,M
2022,MI,FT,Data Scientist,USD,SE,0,SE,M
2023,EN,FT,Head of Data,USD,GR,100,AR,M
2023,SE,FT,Data Scientist,USD,AR,100,AR,M
2023,MI,FT,Machine Learning Engineer,USD,ES,0,ES,M
2022,SE,FT,Quantitative Analyst,USD,MY,0,MY,L
2023,SE,FT,Data Engineer,USD,GB,50,GB,M
2023,MI,FT,Principal Data Scientist,USD,US,0,US,L
2023,MI,FT,Data Engineer,USD,TR,100,TR,M
2023,SE,FT,Director of Data Science,USD,NL,0,NL,M
2022,SE,FT,Data Engineer,USD,PL,0,PL,L
2023,MI,FT,Data Scientist,USD,US,100,US,S
2021,SE,FT,ML Engineer,USD,DE,100,DE,L
2023,MI,FT,Computer Vision Engineer,USD,NL,100,NL,M
2022,EX,FT,Machine Learning Engineer,USD,CL,100,CZ,M
2022,SE,FT,Analytics Engineer,USD,NO,0,US,S
2023,SE,FT,Statistician,USD,PL,0,GR,M
2023,EX,FT,Data Architect,USD,TR,0,TR,S
2023,SE,FT,Analytics Engineer,USD,IN,0,IN,M
2022,EN,FT,Data Analyst,USD,IN,100,IN,M
2022,SE,FT,Data Analyst,USD,IT,100,IT,M
2023,SE,FT,Data Analyst,USD,IN,100,IN,M
2021,SE,FT,Applied Scientist,USD,ES,100,ES,S
2022,SE,FT,Data Consultant,USD,ES,100,ES,M
2023,SE,FT,Big Data Engineer,USD,CH,0,CH,M
2023,MI,FT,AI Engineer,USD,BR,100,BR,M
2023,SE,FT,Director of Data Science,USD,US,0,IN,S
2022,MI,FT,NLP Engineer,USD,MY,0,IN,M
2023,SE,FT,Head of Data,USD,AU,50,AU,M
2023,EN,FT,Data Engineer,USD,AE,50,GB,M
2023,MI,FT,Machine Learning Engineer,USD,IN,100,IN,M
2023,EX,FT,Applied Scientist,USD,CH,100,CH,L
2023,SE,FT,Analytics Engineer,USD,AU,0,AU,M
2023,SE,FT,AI Engineer,USD,PL,0,PL,L
2022,SE,FT,Data Governance Analyst,USD,JP,100,US,M
2023,SE,CT,Data Scientist,USD,KR,100,JP,L
2022,SE,FT,Data Analyst,USD,MX,0,MX,M
2022,SE,FT,AI Researcher,USD,DE,0,DE,S
2022,EX,FT,Machine Learning Engineer,USD,MY,100,IN,M
2022,EN,FT,Machine Learning Engineer,USD,US,0,US,M
2023,EN,FT,NLP Engineer,USD,IN,0,IN,L
2022,SE,FT,Data Engineer,USD,US,0,AE,M
2023,EN,FT,Data Engineer,USD,IN,100,IN,S
2023,EN,FT,Data Engineer,USD,IN,0,IN,M
2022,SE,FT,Data Governance Analyst,USD,PL,100,PL,L
2021,EN,FT,Data Engineer,USD,PL,100,PL,S
2023,SE,FT,Machine Learning Engineer,USD,IE,0,IN,M
2023,SE,FT,Deep Learning Engineer,USD,AU,100,AU,L
2022,SE,FT,Machine Learning Engineer,USD,IN,50,IN,M
2022,SE,FT,Data Engineer,USD,CA,0,SG,M
2022,SE,FT,Machine Learning Engineer,USD,CZ,100,ES,S
2023,EX,FT,Data Engineer,USD,FR,100,FR,M
2023,SE,FT,Applied Scientist,USD,IN,100,IN,M
2021,SE,FT,Analytics Engineer,USD,CZ,100,CZ,M
2023,SE,FT,Data Analyst,USD,GR,50,GR,M
2021,SE,FT,Computer Vision Engineer,USD,IN,100,IN,S
2022,EX,FT,Decision Scientist,USD,AR,0,CH,M
2022,SE,FT,Data Architect,USD,MX,100,MX,M
2023,MI,FT,Analytics Engineer,USD,NL,0,US,L
2023,SE,FT,Head of Data,USD,GB,0,GB,L
2023,SE,FT,NLP Engineer,USD,DE,0,DE,M
2022,SE,FT,Computer Vision Engineer,USD,HU,100,CZ,M
2021,EN,FT,Data Science Manager,USD,GR,100,CA,M
2022,MI,FT,Research Scientist,USD,CA,100,CA,L
2022,SE,FT,ML Ops Engineer,USD,US,100,US,M
2023,SE,FT,Data Analyst,USD,US,0,US,M
2022,MI,FT,Data Analyst,USD,IN,100,IN,M
2021,SE,FT,Data Engineer,USD,DK,100,DK,M
2022,SE,FT,Machine Learning Engineer,USD,BR,50,BR,M
2023,SE,FT,Data Architect,USD,US,100,IN,L
2023,EN,FL,Data Engineer,USD,IN,0,IN,M
2023,SE,FT,Data Analyst,USD,DE,0,AU,M
2023,EX,FT,Machine Learning Engineer,USD,US,0,US,L
2022,EN,FT,Data Governance Analyst,USD,BR,0,BR,M
2023,MI,FT,ML Ops Engineer,USD,DE,0,IN,M
2023,SE,FT,Data Engineer,USD,DK,0,US,M
2022,MI,FT,Machine Learning Engineer,USD,IN,0,IN,M
2023,EN,FT,Data Consultant,USD,JP,0,JP,L
2022,SE,FT,ML Engineer,USD,NL,0,SG,M
2022,SE,FT,Big Data Engineer,USD,AU,0,DE,M
2023,SE,FT,Computer Vision Engineer,USD,SG,0,SG,M
2023,MI,FT,Data Analyst,USD,DK,0,DK,S
2023,SE,FT,AI Engineer,USD,PL,0,PL,M
2022,SE,FT,Data Science Manager,USD,ES,0,ES,L
2023,SE,FT,Data Engineer,USD,US,100,US,M
2023,EN,FT,Principal Data Scientist,USD,IN,0,IN,M
2023,SE,FT,Data Engineer,USD,MY,100,FR,M
2023,SE,FT,Data Scientist,USD,GB,100,GB,M
2023,EN,FT,Data Engineer,USD,FR,0,FR,M
2023,SE,FT,Data Scientist,USD,US,100,US,M
2023,MI,FT,AI Researcher,USD,AU,0,AU,M
2023,EN,FT,NLP Engineer,USD,GB,0,GB,M
2023,SE,FT,Data Analyst,USD,SG,100,IN,M
2022,MI,FT,AI Researcher,USD,IN,100,IN,M
2023,EN,FT,Data Engineer,USD,BR,0,BR,M
2023,MI,FT,Data Scientist,USD,TR,100,TR,M
2023,SE,FT,Analytics Engineer,USD,IE,50,IE,M
2021,MI,FT,Data Engineer,USD,BR,100,BR,M
2022,SE,FT,Machine Learning Engineer,USD,AE,100,AE,M
2023,MI,FT,Applied Scientist,USD,US,100,US,L
2021,SE,FT,Data Consultant,USD,PT,100,PT,L
2023,EN,CT,Business Intelligence Engineer,USD,AE,0,AE,M
2023,MI,FT,Data Governance Analyst,USD,KR,100,KR,S
2023,EN,FT,Research Scientist,USD,CZ,0,CZ,M
2022,SE,FT,Statistician,USD,PT,100,IN,M
2023,MI,FT,Big Data Engineer,USD,TR,0,US,L
2022,SE,FT,Business Intelligence Engineer,USD,US,0,US,L
2023,SE,FT,Data Analyst,USD,FR,0,US,S
2021,EX,FT,Research Scientist,USD,CZ,0,SG,M
2023,SE,FT,Data Specialist,USD,CH,0,CH,M
2023,SE,FT,Research Scientist,USD,ES,100,ES,L
2023,MI,PT,Computer Vision Engineer,USD,CA,100,CA,M
2022,MI,FT,Data Architect,USD,IN,0,NL,M
2022,SE,FT,Data Scientist,USD,US,0,US,L
2022,SE,FT,Data Engineer,USD,DE,100,HU,S
2023,EN,FT,Data Scientist,USD,MX,0,IT,M
2022,MI,FT,ML Engineer,USD,PL,50,US,L
2023,EN,FT,Analytics Engineer,USD,US,0,US,L
2022,MI,FT,BI Analyst,USD,IT,100,IT,L
2022,EN,FT,Machine Learning Engineer,USD,CA,0,CA,L
2022,SE,FT,Business Intelligence Engineer,USD,IT,50,IN,M
2023,SE,FL,Data Analyst,USD,ES,100,ES,L
2022,SE,FT,ML Ops Engineer,USD,JP,100,JP,M
2022,EN,FT,Data Analyst,USD,US,0,US,M
2023,SE,FT,NLP Engineer,USD,US,100,US,M
2022,EN,FT,Machine Learning Engineer,USD,US,100,US,S
2023,SE,FT,Data Scientist,USD,US,50,US,L
2022,SE,FT,AI Researcher,USD,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,GR,0,GR,M
2023,SE,CT,Big Data Engineer,USD,AE,50,AE,M
2023,EN,FT,Data Scientist,USD,IT,0,IT,M
2023,SE,FT,ML Ops Engineer,USD,GB,100,GB,M
2023,MI,FT,Data Scientist,USD,CA,100,CA,M
2021,SE,FT,NLP Engineer,USD,JP,0,JP,L
2023,EN,FT,Data Engineer,USD,AU,100,AU,L
2022,SE,FT,Data Analyst,USD,AE,100,ES,M
2022,SE,FT,Analytics Engineer,USD,JP,0,JP,M
2023,SE,FT,Big Data Engineer,USD,US,0,US,M
2023,EN,FT,AI Engineer,USD,BR,0,BR,M
2023,EX,FT,Data Analyst,USD,ES,0,ES,L
2023,MI,FT,Data Engineer,USD,US,0,US,M
2022,SE,FT,Data Engineer,USD,IN,0,IN,M
2022,MI,FT,Data Engineer,USD,GB,0,GB,L
2022,EN,FT,Business Intelligence Engineer,USD,BR,0,BR,M
2022,MI,FT,Data Scientist,USD,SE,100,SE,M
2022,SE,FT,Quantitative Analyst,USD,TR,100,TR,L
2023,SE,FT,Data Analyst,USD,US,50,US,L
2023,MI,FT,Data Scientist,USD,US,0,US,L
2023,SE,FT,Analytics Engineer,USD,US,50,US,M
2022,EX,FT,BI Analyst,USD,CH,0,CH,L
2022,EX,FT,Computer Vision Engineer,USD,MY,0,MY,M
2023,EN,FT,Data Architect,USD,TR,50,TR,M
2023,EN,FT,Data Analyst,USD,IN,0,IN,M
2023,MI,FT,Machine Learning Engineer,USD,NZ,100,NZ,M
2023,SE,FT,AI Researcher,USD,DE,50,DE,L
2023,EN,FT,Data Specialist,USD,DE,0,NZ,M
2023,SE,FT,Machine Learning Engineer,USD,DE,100,DE,M
2022,EN,PT,AI Engineer,USD,IT,0,CA,M
2023,MI,FT,Machine Learning Engineer,USD,MX,0,MX,S
2023,SE,FT,Data Consultant,USD,US,100,US,M
2023,MI,FT,Data Analyst,USD,KR,100,KR,L
2021,SE,FT,Machine Learning Engineer,USD,US,0,US,L
